session,username,application,activity,event,time,created_at,updated_at,event_value,switch,to,pin,connector,groupname,correct,currentFlowing,levelName,hole,board,source,disconnectDuration,disconnectTime,dest,component,run_remote_id,run_remote_endpoint,activity_id,interactive_id,url,run_key,activity_name,multiple_choice_answer,interactive_url,page_id
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,open activity index,1490195970,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179?externalId=71764&logging=true&returnUrl=https%3A%2F%2Flearn.concord.org%2Fdataservice%2Fexternal_activity_data%2F5a4329bd-975b-4b86-beaa-17576531c850,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,,,
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,exit page,1490195975,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179?externalId=71764&logging=true&returnUrl=https%3A%2F%2Flearn.concord.org%2Fdataservice%2Fexternal_activity_data%2F5a4329bd-975b-4b86-beaa-17576531c850,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,,,
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,open activity page,1490195975,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179/pages/82613/7ef2cbaa-87b0-49e7-b043-04ece8fff400,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,,,82613
0492e0874920b74d65763aa85ebcacac,61831@learn.concord.org,LARA-log-poc,activity: 6179,open activity index,1490195977,0,0,,,,,,,,,,,,,,,,,71766,https://learn.concord.org/dataservice/external_activity_data/008697cf-4574-47c1-a50d-8d82604c1a91,6179,,http://authoring.concord.org/activities/6179?externalId=71766&logging=true&returnUrl=https%3A%2F%2Flearn.concord.org%2Fdataservice%2Fexternal_activity_data%2F008697cf-4574-47c1-a50d-8d82604c1a91,b0244823-cf44-4e58-8565-ca8b1bfa10bc,Teaching Teamwork - Light it up! ,,,
0492e0874920b74d65763aa85ebcacac,61831@learn.concord.org,LARA-log-poc,activity: 6179,exit page,1490195980,0,0,,,,,,,,,,,,,,,,,71766,https://learn.concord.org/dataservice/external_activity_data/008697cf-4574-47c1-a50d-8d82604c1a91,6179,,http://authoring.concord.org/activities/6179?externalId=71766&logging=true&returnUrl=https%3A%2F%2Flearn.concord.org%2Fdataservice%2Fexternal_activity_data%2F008697cf-4574-47c1-a50d-8d82604c1a91,b0244823-cf44-4e58-8565-ca8b1bfa10bc,Teaching Teamwork - Light it up! ,,,
0492e0874920b74d65763aa85ebcacac,61831@learn.concord.org,LARA-log-poc,activity: 6179,open activity page,1490195980,0,0,,,,,,,,,,,,,,,,,71766,https://learn.concord.org/dataservice/external_activity_data/008697cf-4574-47c1-a50d-8d82604c1a91,6179,,http://authoring.concord.org/activities/6179/pages/82613/b0244823-cf44-4e58-8565-ca8b1bfa10bc,b0244823-cf44-4e58-8565-ca8b1bfa10bc,Teaching Teamwork - Light it up! ,,,82613
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,focus in,1490195981,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179/pages/82613/7ef2cbaa-87b0-49e7-b043-04ece8fff400,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,3496164,,82613
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,answer saved,1490195982,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179/pages/82613/7ef2cbaa-87b0-49e7-b043-04ece8fff400,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,3496164,,82613
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,submit answer,1490195983,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179/pages/82613/7ef2cbaa-87b0-49e7-b043-04ece8fff400,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,3496164,,82613
1f16912c7966e8fc597e302075521756,61830@learn.concord.org,LARA-log-poc,activity: 6179,focus out,1490195983,0,0,,,,,,,,,,,,,,,,,71764,https://learn.concord.org/dataservice/external_activity_data/5a4329bd-975b-4b86-beaa-17576531c850,6179,,http://authoring.concord.org/activities/6179/pages/82613/7ef2cbaa-87b0-49e7-b043-04ece8fff400,7ef2cbaa-87b0-49e7-b043-04ece8fff400,Teaching Teamwork - Light it up! ,3496164,,82613
